"model","run","conv","nit","gamma","C1","C2","kappa1","kappa2","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"MPI-ESM1-2-HR","r1i1p1f1","TRUE","3668","3.00266533842309","7.38989951250441","81.5170117668008","1.41531059450452","0.783292326253286","1.41323849009833","0.546087056911455","0.623284591433254","8.87810349224091"
"CAMS-CSM1-0","r1i1p1f1","TRUE","3488","4.43444197427941","7.14273928353773","51.989643512112","2.02031428592958","0.726737858282986","1.31188463134811","1.06236816192213","0.781312952544101","9.48464890007561"
"BCC-ESM1","r1i1p1f1","TRUE","3403","1.72870186385841","7.75651569957907","77.8760415724433","0.982848408131302","0.680186628793478","1.23603628456072","0.378361710907321","0.468566463936175","6.68145910548272"
"MRI-ESM2-0","r10i1p1f1","TRUE","2696","1.90870836351277","6.09302042815495","98.419614559468","1.20195434185638","0.915480929475562","1.36554039922858","0.632745123080129","0.835498325638713","8.0873245964739"
"MRI-ESM2-0","r1i1p1f1","TRUE","2453","2.305589818726","6.55317318791396","96.8111696592508","1.23953495400853","0.919564398460425","1.44124123213918","0.86320870990939","0.712960597389275","8.40972572781516"
"MRI-ESM2-0","r7i1p1f1","TRUE","2278","2.24266804190595","6.08300815418478","98.3569740125079","1.14419308794674","0.913286645925892","1.2387689396099","0.675248174192327","0.774062423179012","7.58483804264986"
"MRI-ESM2-0","r4i1p1f1","TRUE","2433","2.50294600854054","6.63550648650185","98.0564510916203","1.17807825608055","0.904962957716025","1.24046861288219","0.774155885379355","0.710629163508776","7.72442807901715"
"MRI-ESM2-0","r13i1p1f1","TRUE","2445","2.69144662914014","6.57764272002681","99.0976116644806","1.25488326138878","0.893351174869441","1.26086498344979","0.804419482867601","0.689882144153993","8.09642128472543"
"MRI-ESM2-0","r1i2p1f1","TRUE","2775","2.79427217198751","6.34809725801864","105.055144895979","1.22730218247914","0.885185662867305","1.21182373753346","0.858970898605368","0.703886338099558","7.8533732502562"
"E3SM-1-0","r1i1p1f1","TRUE","2875","2.61278628988562","7.64588683665349","39.7066951194243","0.656915315398868","0.436208198448465","1.39939300074785","0.831211773634711","1.14997337384437","7.56004580589527"
"INM-CM4-8","r1i1p1f1","TRUE","3382","2.47542758680007","6.41241801586667","28.323738524455","1.67033181103576","0.672723650329425","1.26304816780306","0.44984291785274","0.372992191595128","6.19281091257226"
"IPSL-CM6A-LR","r1i1p1f1","TRUE","2480","3.41879862989152","6.64043606615127","53.31979999367","0.807394614401427","0.574496701031673","1.22941022260051","0.917040667380526","0.961626219106709","7.61157863793722"
"CanESM5","r1i1p1f1","TRUE","3418","3.18114444932392","7.54978816596906","68.8420962157948","0.664404311320222","0.633789079033777","1.08639682310015","0.593494740257428","0.924950208093864","7.64772787243307"
"CanESM5","r1i1p2f1","TRUE","3575","2.81781270538718","8.23444288564121","68.6876490119084","0.639895512175114","0.60665716724107","1.09192123759047","0.437721111974427","0.974416695916076","7.4560757999848"
"IITM-ESM","r1i1p1f1","TRUE","2438","2.93649452817447","6.14684251513358","129.20637180392","2.04504470347024","0.899337258455579","1.11996054367655","1.14819269861342","0.806150500220516","9.76615768913463"
"MIROC6","r1i1p1f1","TRUE","3104","2.0304939601472","5.02131633392596","136.390658057107","1.52006036033286","0.796549336993771","1.28793300035546","0.731279371029189","1.01659899288296","8.31820019821623"
"CESM2-FV2","r1i1p1f1","TRUE","2156","2.23092294231315","6.49315630839158","84.9441130432799","0.628958274330644","0.78696559345675","1.77158744741549","0.821009250585191","0.82814264764152","8.02611516107197"
"CAS-ESM2-0","r1i1p1f1","TRUE","1891","1.59315897603675","6.38023580679726","54.7808513260232","1.01993388146656","0.636668464190813","1.33105256128467","0.483086423959639","0.667476356629095","7.47822498817202"
"INM-CM5-0","r1i1p1f1","TRUE","2490","1.94249180080997","7.14822612797592","48.8682834029576","1.6556924570656","0.614482741802402","1.21962494971129","0.460780303232292","0.488686367902418","6.45177363550822"
"CESM2-WACCM-FV2","r1i1p1f1","TRUE","2128","2.34257456194294","6.7445515479708","103.303240510864","0.646214006838677","0.77749779874391","1.53143333010649","0.858366602408394","0.873261742127143","7.32307870423158"
"MPI-ESM-1-2-HAM","r1i1p1f1","TRUE","2694","2.42401619646851","7.95044061164067","98.2347391353228","1.45268444297153","0.765265242603298","1.32030348772748","0.539665852221486","0.759845862847951","9.14610961533412"
"CESM2-WACCM","r1i1p1f1","TRUE","3150","2.56293790935166","7.94532238039861","84.7833106955502","0.764481141404463","0.757703511134351","1.58924056163454","0.665782890061202","0.711672913320516","8.36953106437995"
"MPI-ESM1-2-LR","r1i1p1f1","TRUE","3423","2.27719939333837","6.96967586317589","94.2309839634581","1.48873519246338","0.754921460798135","1.24445234388762","0.454710633029352","0.89136066105697","9.34760164521641"
"FGOALS-g3","r1i1p1f1","TRUE","3916","1.10205582304891","6.74316309827313","88.6464479406436","1.31416006854783","0.744119160398294","1.23161096922827","0.232270575666515","0.625053941768013","7.87870040851266"
"SAM0-UNICON","r1i1p1f1","TRUE","2755","2.35721772763372","6.4761391130627","109.082681700438","1.09075458139662","0.760006260834362","1.25773958039404","0.796423320818831","0.794444938271484","8.63966378400186"
"CNRM-CM6-1-HR","r1i1p1f2","TRUE","4190","5.19071621901884","8.14289378270951","81.2010467818471","0.879434425815013","0.665611447030996","0.880494213015783","0.600608020219467","0.87364454251022","7.47871551998378"
"FIO-ESM-2-0","r2i1p1f1","TRUE","3930","0.18710634731432","7.39589722690923","86.3947835737112","1.13722237178226","0.808065962283723","1.62822907772566","0.315241593183559","0.83321953130126","10.1974669897376"
"FIO-ESM-2-0","r3i1p1f1","TRUE","2902","2.01659679060369","7.97610976196166","92.338036312638","0.910414977509673","0.738622758233056","1.15099765876527","0.454325890918109","0.953456598280314","7.96414915791495"
"FIO-ESM-2-0","r1i1p1f1","TRUE","3194","2.16630824878242","7.07927280105476","90.7373812267457","0.933677054360555","0.786574905083395","1.35484361408542","0.458490818631659","0.952164126857783","8.61048502548729"
"GFDL-ESM4","r1i1p1f1","TRUE","2727","3.66630642987263","6.51082550450419","110.156741718252","1.41291347406241","0.70207908860448","1.15723221350949","0.988017990378596","0.698939840879943","7.72869016806959"
"CMCC-CM2-SR5","r1i1p1f1","TRUE","3326","1.60972032525509","6.25674200551828","50.6810167802861","1.33959091915787","0.758705267565661","1.49939981006694","0.616089454923528","1.27168144296952","9.86687957558336"
"EC-Earth3","r3i1p1f1","TRUE","2460","2.15109578659032","6.20937049007998","34.1106748876598","0.960245474613879","0.810645966304378","1.31611685914767","0.625678289545297","1.17273176593981","8.11285180316632"
"EC-Earth3","r8i1p1f1","TRUE","3697","2.94994622195211","5.56804704546836","32.6808557449536","0.991788375737932","0.782818003958584","1.29532528060651","0.743505026851383","1.03446873888234","8.47110505087491"
"CNRM-CM6-1","r1i1p1f2","TRUE","3302","4.4884661941286","6.68518713180105","93.6543930205141","0.748726154541317","0.664035525919535","1.06256239728266","0.727074104290126","0.911550242022466","7.49473100189"
"HadGEM3-GC31-MM","r1i1p1f3","TRUE","3666","2.6658534198416","7.11976533932411","64.7262860991362","0.665950860921867","0.727870892485641","1.07469714343237","0.457213473020162","0.876404536270123","7.39137860427496"
"FGOALS-f3-L","r3i1p1f1","TRUE","4145","3.60612809539195","6.42394675961266","64.7300825110137","1.5695001617335","0.762003185421284","1.43490706997143","0.817359766234742","1.0855027068858","9.87974730956399"
"FGOALS-f3-L","r1i1p1f1","TRUE","3590","3.87039420516617","6.08002271072602","68.5038466595054","1.57912059642411","0.773781331614889","1.46605899910179","0.974714674230247","1.06457140221843","9.98812054902756"
"FGOALS-f3-L","r2i1p1f1","TRUE","3083","2.84589778941896","6.32242335321982","66.5284849339461","1.50127114374208","0.759901864946964","1.32580351351409","0.721299581503679","1.13938461793603","9.43148428124248"
